Detector,Time,qPKW
21801V72158_1,2110,2
21801V72158_2,2110,1
27372V72852_2,2110,1
04300V72813_3,2120,1
16219V72812_2,2120,1
27372V72852_2,2120,1
81077V72158_1,2120,1
88356V72157_6,2120,1
04300V72813_1,2130,1
04300V72813_3,2130,2
10236V72161_1,2130,1
16219V72812_2,2130,1
04300V72813_3,2140,1
10236V72161_1,2140,1
10236V72161_4,2140,1
16219V72812_2,2140,1
81077V72158_2,2140,1
10236V72161_2,2150,1
16219V72812_1,2150,1
10236V72161_2,2160,1
16219V72812_1,2160,2
21801V72158_1,2160,1
04211V1677432_2,2170,1
16219V72812_2,2170,1
21801V72158_1,2170,1
27372V72852_2,2170,2
04300V72813_1,2180,1
10236V72161_2,2180,1
16219V72812_1,2180,1
21801V72158_1,2180,1
21801V72158_2,2180,1
81077V72158_3,2180,1
10236V72161_2,2190,1
10236V72161_3,2190,1
27372V72852_2,2190,1
88356V72157_6,2190,2
10236V72161_3,2200,1
16219V72812_2,2200,1
81077V72158_2,2200,1
88356V72157_6,2200,1
04300V72813_1,2210,1
10236V72161_1,2210,1
10236V72161_2,2210,1
10236V72161_1,2220,1
10236V72161_4,2220,2
21801V72158_1,2220,1
27372V72852_1,2220,2
04300V72813_3,2230,1
16219V72812_1,2230,1
21801V72158_1,2230,1
27372V72852_1,2230,2
04300V72813_1,2240,1
10236V72161_1,2240,1
16219V72812_2,2240,1
10236V72161_2,2250,1
16219V72812_1,2250,1
16219V72812_2,2250,1
21801V72158_1,2250,1
27372V72852_1,2250,2
81077V72158_2,2250,1
81077V72158_3,2250,1
10236V72161_4,2260,1
16219V72812_1,2260,1
16219V72812_3,2260,1
27372V72852_1,2260,1
27372V72852_2,2260,1
88356V72157_6,2260,1
16219V72812_1,2270,1
16219V72812_2,2270,1
27372V72852_1,2270,1
81077V72158_1,2270,1
04300V72813_1,2280,1
16219V72812_1,2280,1
16219V72812_2,2280,1
10236V72161_3,2290,1
16219V72812_2,2290,1
27372V72852_1,2290,1
04300V72813_3,2300,2
16219V72812_2,2300,2
81077V72158_2,2300,1
04211V1677432_1,2310,1
04300V72813_3,2310,2
16219V72812_1,2310,1
16219V72812_2,2310,3
04300V72813_1,2320,1
04300V72813_3,2320,1
16219V72812_1,2320,2
16219V72812_2,2320,4
21801V72158_1,2320,1
16219V72812_2,2330,2
21801V72158_1,2330,1
27372V72852_2,2330,1
81077V72158_4,2330,1
16219V72812_2,2340,1
21801V72158_1,2340,1
04300V72813_3,2350,1
10236V72161_2,2350,1
10236V72161_4,2350,1
16219V72812_1,2350,2
27372V72852_1,2350,1
81077V72158_2,2350,1
04300V72813_3,2360,1
10236V72161_3,2360,1
16219V72812_1,2360,1
16219V72812_2,2360,2
10236V72161_1,2370,1
16219V72812_1,2370,1
16219V72812_2,2370,1
10236V72161_2,2380,1
10236V72161_4,2380,1
16219V72812_1,2380,2
16219V72812_2,2380,1
21801V72158_1,2380,1
27372V72852_1,2380,1
27372V72852_2,2380,2
04300V72813_1,2390,1
10236V72161_3,2390,1
16219V72812_2,2390,1
21801V72158_1,2390,2
04300V72813_1,2400,1
10236V72161_1,2400,1
81077V72158_3,2400,1
88356V72157_1,2400,1
10236V72161_3,2410,1
16219V72812_2,2410,1
21801V72158_2,2410,1
81077V72158_2,2410,1
04300V72813_1,2420,1
10236V72161_2,2420,1
21801V72158_1,2420,1
81077V72158_1,2420,1
04211V1677432_2,2430,1
04300V72813_3,2430,1
10236V72161_2,2430,3
10236V72161_4,2430,1
21801V72158_1,2430,2
27372V72852_2,2430,1
81077V72158_4,2430,1
04211V1677432_2,2440,1
10236V72161_1,2440,1
10236V72161_2,2440,3
16219V72812_1,2440,1
21801V72158_1,2440,2
04211V1677432_2,2450,1
04300V72813_3,2450,1
10236V72161_2,2450,1
10236V72161_4,2450,1
21801V72158_1,2450,1
27372V72852_2,2450,1
04211V1677432_2,2460,1
04300V72813_1,2460,1
21801V72158_2,2460,1
81077V72158_2,2460,1
04211V1677432_2,2470,1
16219V72812_1,2470,1
21801V72158_1,2470,1
27372V72852_1,2470,1
04211V1677432_2,2480,1
10236V72161_1,2480,1
16219V72812_1,2480,1
21801V72158_1,2480,1
04211V1677432_2,2490,1
16219V72812_2,2490,1
27372V72852_1,2490,2
04211V1677432_2,2500,1
04300V72813_1,2500,1
10236V72161_3,2500,1
16219V72812_2,2500,1
27372V72852_1,2500,1
27372V72852_2,2500,1
10236V72161_2,2510,1
10236V72161_3,2510,1
